"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","AADM","AADM","Y412","9245","","PICKETT J","17","17","4.00","3.60","0","100.0","0.0","0.0","0.0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AADM","AADM","Y525","9246","","KIRK J","15","17","3.91","3.75","0","93.3","6.7","0.0","0.0","2","5","7","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","06-10-2004",
"Spring 2004","4042","","","AADM","AADM","Y625","9248","","LAME M","15","15","3.75","3.74","0","86.7","13.3","0.0","0.0","0","0","6","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A100","9251","","WEST J","67","75","2.64","2.48","0","37.3","26.9","14.9","6.0","18","3","13","9","8","7","3","3","5","2","1","2","1","10","3","4","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A102","9252","","WEST J","7","7","3.67","3.41","0","71.4","28.6","0.0","0.0","0","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A102","9253","","WEST J","8","10","3.80","2.98","0","87.5","12.5","0.0","0.0","2","2","2","3","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A202","9256","","GORR W","10","13","3.47","2.65","0","70.0","10.0","20.0","0.0","3","1","4","2","1","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A202","9257","","GORR W","17","17","3.86","3.15","0","88.2","11.8","0.0","0.0","0","6","6","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A302","9260","","GORR W","10","10","3.97","3.27","0","100.0","0.0","0.0","0.0","0","3","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AERO","AERO","A402","9264","","DEKEMPER W","8","8","3.96","3.16","0","100.0","0.0","0.0","0.0","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRI","AFRI","L232","0266","","BOUABRE T","35","40","3.49","2.94","0","54.3","45.7","0.0","0.0","5","0","2","17","11","5","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A100","0267","","ROSA I","20","22","3.99","3.14","0","100.0","0.0","0.0","0.0","2","5","14","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A110","0268","","MUMFORD J","43","49","3.73","2.73","0","81.4","18.6","0.0","0.0","6","8","11","16","6","0","2","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","1","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A120","0269","","COOPER T","17","20","4.00","2.97","0","100.0","0.0","0.0","0.0","3","14","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A142","0271","","MCELROY F","79","91","2.47","2.79","0","16.5","41.8","22.8","7.6","21","0","3","10","14","12","7","8","9","1","3","3","0","9","8","3","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A150","0275","","GRIM V","131","161","2.79","2.75","0","29.8","36.6","24.4","5.3","35","0","12","27","15","26","7","10","11","11","4","1","2","5","19","10","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A210","0282","","MCCLUSKEY A","34","40","3.11","2.88","0","35.3","41.2","20.6","2.9","6","0","7","5","4","9","1","4","3","0","0","1","0","0","4","2","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A249","0283","","MCCLUSKEY J","23","26","2.61","2.67","0","13.0","60.9","13.0","4.3","5","0","0","3","4","5","5","1","1","1","1","0","0","2","3","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A265","0284","","SAILES G","128","148","3.36","2.86","0","48.4","42.2","7.8","1.6","20","5","37","20","14","37","3","3","6","1","2","0","0","0","6","9","4","0","1","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A278","0289","","VAUBEL N","22","30","3.39","2.85","0","63.6","27.3","4.5","0.0","9","2","7","5","1","5","0","0","0","1","0","0","0","1","3","4","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A290","9483","","OREJUELA F","17","20","2.47","2.69","0","23.5","35.3","17.6","11.8","5","1","1","2","2","3","1","0","3","0","1","1","0","2","2","1","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A300","0291","","ROSA I","5","6","3.94","3.49","0","100.0","0.0","0.0","0.0","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A354","0292","","GUTERL M","26","29","3.39","2.98","0","50.0","46.2","3.8","0.0","3","0","4","9","6","4","2","0","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A356","0293","","LITTLE M","45","61","2.28","2.63","0","6.7","44.4","33.3","4.4","21","0","0","3","3","11","6","6","5","4","0","1","1","5","10","5","1","0","0","0","0","0","0","0","06-10-2004",
